Harry Potter and the Chamber of Secrets,2002-11-13,100000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Kenneth Branagh, Gilderoy Lockhart, John Cleese, Nearly Headless Nick (Sir Nicholas), Robbie Coltrane, Rubeus Hagrid, Warwick Davis, Filius Flitwick, Richard Griffiths, Vernon Dursley, Richard Harris, Albus Dumbledore","Adventure, Fantasy",7.721
Guardians of the Galaxy Vol. 2,2017-04-19,200000000,"Chris Pratt, Peter Quill / Star-Lord, Zoe Saldaña, Gamora, Dave Bautista, Drax the Destroyer, Vin Diesel, Baby Groot (voice), Bradley Cooper, Rocket (voice), Kurt Russell, Ego, Michael Rooker, Yondu Udonta, Karen Gillan, Nebula, Pom Klementieff, Mantis","Adventure, Action, Science Fiction",7.624
The Lord of the Rings: The Two Towers,2002-12-18,79000000,"Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Andy Serkis, Gollum, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli / Treebeard (voice), Bernard Hill, Théoden","Adventure, Fantasy, Action",8.385
Captain America: The First Avenger,2011-07-22,140000000,"Chris Evans, Steve Rogers / Captain America, Tommy Lee Jones, Chester Phillips, Hugo Weaving, Johann Schmidt / Red Skull, Hayley Atwell, Peggy Carter, Sebastian Stan, James Buchanan 'Bucky' Barnes, Dominic Cooper, Howard Stark, Toby Jones, Dr. Arnim Zola, Neal McDonough, Timothy 'Dum Dum' Dugan, Derek Luke, Gabe Jones","Action, Adventure, Science Fiction",6.995
Suicide Squad,2016-08-03,175000000,"Will Smith, Floyd Lawton / Deadshot, Jared Leto, The Joker, Margot Robbie, Harleen Quinzel / Harley Quinn, Joel Kinnaman, Rick Flag, Viola Davis, Amanda Waller, Jai Courtney, George 'Digger' Harkness / Boomerang, Jay Hernandez, Chato Santana / El Diablo, Adewale Akinnuoye-Agbaje, Waylon Jones / Killer Croc, Cara Delevingne, June Moone / Enchantress","Action, Adventure, Fantasy",5.909
Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Robbie Coltrane, Rubeus Hagrid, Michael Gambon, Albus Dumbledore, Gary Oldman, Sirius Black, Alan Rickman, Severus Snape, Timothy Spall, Peter Pettigrew, David Thewlis, Remus Lupin","Adventure, Fantasy",8.02
Thor,2011-04-21,150000000,"Chris Hemsworth, Thor Odinson, Natalie Portman, Jane Foster, Tom Hiddleston, Loki, Anthony Hopkins, Odin, Stellan Skarsgård, Erik Selvig, Kat Dennings, Darcy Lewis, Clark Gregg, Phil Coulson, Colm Feore, King Laufey, Idris Elba, Heimdall","Adventure, Fantasy, Action",6.768
Iron Man 2,2010-04-28,200000000,"Robert Downey Jr., Tony Stark / Iron Man, Gwyneth Paltrow, Virginia 'Pepper' Potts, Don Cheadle, James 'Rhodey' Rhodes / War Machine, Scarlett Johansson, Natalie Rushman / Natasha Romanoff / Black Widow, Sam Rockwell, Justin Hammer, Mickey Rourke, Ivan Vanko / Whiplash, Samuel L. Jackson, Nick Fury, Clark Gregg, Phil Coulson, John Slattery, Howard Stark","Adventure, Action, Science Fiction",6.835
Batman Begins,2005-06-10,150000000,"Christian Bale, Bruce Wayne / Batman, Michael Caine, Alfred Pennyworth, Liam Neeson, Henri Ducard / Ra's al Ghul, Katie Holmes, Rachel Dawes, Gary Oldman, James Gordon, Cillian Murphy, Jonathan Crane / Scarecrow, Tom Wilkinson, Carmine ""The Roman"" Falcone, Rutger Hauer, William Earle, Ken Watanabe, Decoy Ra's al Ghul","Action, Crime, Drama",7.701
Thor: Ragnarok,2017-10-02,180000000,"Chris Hemsworth, Thor Odinson, Tom Hiddleston, Loki, Cate Blanchett, Hela, Tessa Thompson, Scrapper 142 / Valkyrie, Jeff Goldblum, En Dwi Gast / Grandmaster, Idris Elba, Heimdall, Karl Urban, Skurge / Executioner, Mark Ruffalo, Bruce Banner / Hulk, Anthony Hopkins, Odin","Action, Adventure, Fantasy, Science Fiction, Comedy",7.595
